SiteEnergyUse(kBtu),NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,LargestPropertyUseTypeGFA,BuildingType,Neighborhood,PrimaryPropertyType,BuildingAge,SteamUse,Electricity,NaturalGas
9436408.0,1.0,2,179161,0,DISTRIBUTION CENTER,117476.0,NONRESIDENTIAL COS,GREATER DUWAMISH,DISTRIBUTION CENTER,92,0,1,1
3928695.25,1.0,2,58640,0,NON-REFRIGERATED WAREHOUSE,40831.0,NONRESIDENTIAL COS,GREATER DUWAMISH,WAREHOUSE,51,0,1,0
58761304.0,1.0,3,1172127,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,1172127.0,NONRESIDENTIAL,GREATER DUWAMISH,OTHER,17,0,1,1
12726789.0,1.0,9,168449,14567,HOTEL,135006.0,NONRESIDENTIAL,GREATER DUWAMISH,HOTEL,11,0,1,1
2411402.25,1.0,4,79600,0,NON-REFRIGERATED WAREHOUSE,79600.0,NONRESIDENTIAL,GREATER DUWAMISH,WAREHOUSE,100,0,1,0
7791957.0,1.0,4,241066,0,K-12 SCHOOL,241066.0,SPS-DISTRICT K-12,LAKE UNION,K-12 SCHOOL,19,0,1,1
53466684.0,14.0,2,334368,31874,OFFICE,240984.0,CAMPUS,GREATER DUWAMISH,LARGE OFFICE,36,0,1,1
9134963.0,1.0,6,419848,335109,PARKING,335109.0,NONRESIDENTIAL,NORTH,OTHER,8,0,1,1
10557910.0,1.0,4,110785,0,MULTIFAMILY HOUSING,58563.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,MIXED USE PROPERTY,14,0,1,1
65047284.0,1.0,0,934292,0,HOTEL,495536.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,17,0,1,1
143423024.0,6.0,5,597519,0,HOSPITAL (GENERAL MEDICAL & SURGICAL),601615.0,NONRESIDENTIAL,CENTRAL,HOSPITAL,26,0,1,1
2371358.0,1.0,1,71714,0,K-12 SCHOOL,71714.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,17,0,1,1
549181.375,1.0,3,75397,8161,NON-REFRIGERATED WAREHOUSE,67236.0,NONRESIDENTIAL,LAKE UNION,WAREHOUSE,25,0,1,1
293090784.0,9.0,8,1158691,0,HOSPITAL (GENERAL MEDICAL & SURGICAL),1350182.0,NONRESIDENTIAL,EAST,HOSPITAL,16,1,1,1
10105379.0,1.0,5,102796,12611,SENIOR CARE COMMUNITY,55259.0,NONRESIDENTIAL,DOWNTOWN,SENIOR CARE COMMUNITY,17,0,1,1
8164853.0,1.0,2,208981,0,K-12 SCHOOL,208981.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,14,0,1,1
1377627.0,1.0,2,55653,0,K-12 SCHOOL,55500.0,NONRESIDENTIAL,NORTHEAST,K-12 SCHOOL,88,0,1,1
11935719.0,1.0,16,106860,0,HOTEL,106860.0,NONRESIDENTIAL,NORTHEAST,HOTEL,85,0,1,1
3147042.0,1.0,5,50759,0,OFFICE,47079.0,NONRESIDENTIAL,NORTH,SMALL- AND MID-SIZED OFFICE,44,0,1,1
2439484.75,1.0,2,56772,0,WORSHIP FACILITY,56772.0,NONRESIDENTIAL,NORTHEAST,WORSHIP FACILITY,64,0,1,1
4854429.5,1.0,3,103000,0,WORSHIP FACILITY,103000.0,NONRESIDENTIAL,NORTHEAST,WORSHIP FACILITY,64,0,1,1
10498344.0,1.0,3,269297,0,K-12 SCHOOL,269297.0,SPS-DISTRICT K-12,NORTHEAST,K-12 SCHOOL,10,0,1,1
2733846.0,1.0,3,75174,0,K-12 SCHOOL,75174.0,SPS-DISTRICT K-12,NORTHEAST,K-12 SCHOOL,15,0,1,1
2334260.0,1.0,3,75214,0,K-12 SCHOOL,75214.0,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,K-12 SCHOOL,13,0,1,1
3822102.5,1.0,3,134918,0,K-12 SCHOOL,134918.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,11,0,1,1
2295176.5,1.0,2,64414,0,K-12 SCHOOL,65310.0,SPS-DISTRICT K-12,CENTRAL,K-12 SCHOOL,25,0,1,0
4626443.0,1.0,3,92437,0,K-12 SCHOOL,92437.0,SPS-DISTRICT K-12,NORTHWEST,K-12 SCHOOL,89,0,1,1
6057410.0,1.0,7,128766,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,109754.0,NONRESIDENTIAL,DOWNTOWN,OTHER,102,0,1,1
5572503.0,1.0,9,107572,0,RESIDENCE HALL/DORMITORY,63934.0,NONRESIDENTIAL,DOWNTOWN,RESIDENCE HALL,103,1,1,0
62197176.0,1.0,15,230880,0,OTHER,203000.0,NONRESIDENTIAL,DOWNTOWN,OTHER,61,0,1,0
8190809.0,1.0,3,204961,0,K-12 SCHOOL,204961.0,SPS-DISTRICT K-12,GREATER DUWAMISH,K-12 SCHOOL,9,0,1,1
3267564.0,1.0,1,76086,0,OTHER,77810.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,OTHER,43,0,1,1
28731502.0,1.0,5,190000,39000,MEDICAL OFFICE,146741.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,MEDICAL OFFICE,89,0,1,1
25453690.0,1.0,4,122309,0,HOTEL,122309.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,55,0,1,1
24017770.0,4.0,3,215476,0,OTHER,217088.0,CAMPUS,DOWNTOWN,OTHER,21,0,1,1
